USER_TEXT_TO_CONVERT,CONVERTED_USER_TEXT
A,['.-']
1,['.----']
A,['.-']
C4G,"['-.-.', '....-', '--.']"
ZX,"['--..', '-..-']"
CV,"['-.-.', '...-']"
CV,"['-.-.', '...-']"
BN,"['-...', '-.']"
TY,"['-', '-.--']"
UI,"['..-', '..']"
78,"['--...', '---..']"
1,['.----']
2,['..---']
3,['...--']
12,"['.----', '..---']"
23RWE,"['..---', '...--', '.-.', '.--', '.']"
GFSDY657,"['--.', '..-.', '...', '-..', '-.--', '-....', '.....', '--...']"
BG678BHJ]\L;'.,"['-...', '--.', '-....', '--...', '---..', '-...', '....', '.---', '.-..', '.-.-.-']"
MKLKJH,"['--', '-.-', '.-..', '-.-', '.---', '....']"
HGY7,"['....', '--.', '-.--', '--...']"
[PL;,"['.--.', '.-..']"
AFDSAF,"['.-', '..-.', '-..', '...', '.-', '..-.']"
"KLP[;L,","['-.-', '.-..', '.--.', '.-..']"
"M,.;POI","['--', '.-.-.-', '.--.', '---', '..']"
NB,"['-.', '-...']"
"HJKLP[];L;.,","['....', '.---', '-.-', '.-..', '.--.', '.-..', '.-.-.-']"
"B78IOPL,./;[]\","['-...', '--...', '---..', '..', '---', '.--.', '.-..', '.-.-.-', '-..-.']"
"POL.,'/;[\][PL","['.--.', '---', '.-..', '.-.-.-', '-..-.', '.--.', '.-..']"
"POIKJM,.';[]\","['.--.', '---', '..', '-.-', '.---', '--', '.-.-.-']"
Y/,"['-.--', '-..-.']"
Y\,['-.--']
P\,['.--.']
P\,['.--.']
OP\,"['---', '.--.']"
OP[]\';LK,"['---', '.--.', '.-..', '-.-']"
IUJHJKOP[]\;L;',"['..', '..-', '.---', '....', '.---', '-.-', '---', '.--.', '.-..']"
8UHBNJUYG,"['---..', '..-', '....', '-...', '-.', '.---', '..-', '-.--', '--.']"
NJKL.,"['-.', '.---', '-.-', '.-..', '.-.-.-']"
\][P;L.,"['.--.', '.-..', '.-.-.-']"
LOIKJHN,"['.-..', '---', '..', '-.-', '.---', '....', '-.']"
POK;,"['.-..', '---', '..', '-.-', '.---', '....', '-.', '.--.', '---', '-.-']"
\][P;,"['.-..', '---', '..', '-.-', '.---', '....', '-.', '.--.', '---', '-.-', '.--.']"
",KJN","['-.-', '.---', '-.']"
K][P,"['-.-', '.--.']"
"\][;/.,M","['-..-.', '.-.-.-', '--']"
K,['-.-']
-09876T5RFVBNJKOP[]\][;,"['-....-', '-----', '----.', '---..', '--...', '-....', '-', '.....', '.-.', '..-.', '...-', '-...', '-.', '.---', '-.-', '---', '.--.']"
"\][;.,",['.-.-.-']
,[]
H87B,"['....', '---..', '--...', '-...']"
,[]
J,['.---']
J,['.---']
J,['.---']
J,['.---']
J,['.---']
J,['.---']
JYTG,"['.---', '-.--', '-', '--.']"
,[]
A,['.-']
A,"['.-', '.-']"
A,"['.-', '.-', '.-']"
A,"['.-', '.-', '.-', '.-']"
A,"['.-', '.-', '.-', '.-', '.-']"
A,"['.-', '.-', '.-', '.-', '.-', '.-']"
AVFR4RTY,"['.-', '.-', '.-', '.-', '.-', '.-', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--']"
AVFR4RTY,"['.-', '.-', '.-', '.-', '.-', '.-', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--']"
AVFR4RTY,"['.-', '.-', '.-', '.-', '.-', '.-', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--']"
AVFR4RTY,"['.-', '.-', '.-', '.-', '.-', '.-', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--']"
AVFR4RTY,"['.-', '.-', '.-', '.-', '.-', '.-', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--', '.-', '...-', '..-.', '.-.', '....-', '.-.', '-', '-.--']"
A1,"['.-', '.----']"
A1,"['.-', '.----']"
A1,"['.-', '.----']"
NUYBH ,"['-.', '..-', '-.--', '-...', '....']"
NUYBH ,"['-.', '..-', '-.--', '-...', '....']"
NUYBH  JHJK,"['-.', '..-', '-.--', '-...', '....', '.---', '....', '.---', '-.-']"
\][POL;';,"['.--.', '---', '.-..']"
XWW2,"['-..-', '.--', '.--', '..---']"
XWW2,"['-..-', '.--', '.--', '..---']"
XWW2,"['-..-', '.--', '.--', '..---']"
XWW2,"['-..-', '.--', '.--', '..---']"
,[]
1,['.----']
1,['.----']
1213,"['.----', '..---', '.----', '...--']"
H,['....']
H\][P[]\][;,"['....', '.--.']"
H\][P[]\][;,"['....', '.--.']"
H\][P[]\][;,"['....', '.--.']"
"H\][P[]\][;][;.,MKL","['....', '.--.', '.-.-.-', '--', '-.-', '.-..']"
1,['.----']
1NJH,"['.----', '-.', '.---', '....']"
1NJHNMJHY7UIKL[]\][;L;'P;L,"['.----', '-.', '.---', '....', '-.', '--', '.---', '....', '-.--', '--...', '..-', '..', '-.-', '.-..', '.-..', '.--.', '.-..']"
1NJHNMJHY7UIKL[]\][;L;'P;L,"['.----', '-.', '.---', '....', '-.', '--', '.---', '....', '-.--', '--...', '..-', '..', '-.-', '.-..', '.-..', '.--.', '.-..']"
1NJHNMJHY7UIKL[]\][;L;'P;LKIU8Y7T6FGVHB,"['.----', '-.', '.---', '....', '-.', '--', '.---', '....', '-.--', '--...', '..-', '..', '-.-', '.-..', '.-..', '.--.', '.-..', '-.-', '..', '..-', '---..', '-.--', '--...', '-', '-....', '..-.', '--.', '...-', '....', '-...']"
1NJHNMJHY7UIKL[]\][;L;'P;LKIU8Y7T6FGVHB,"['.----', '-.', '.---', '....', '-.', '--', '.---', '....', '-.--', '--...', '..-', '..', '-.-', '.-..', '.-..', '.--.', '.-..', '-.-', '..', '..-', '---..', '-.--', '--...', '-', '-....', '..-.', '--.', '...-', '....', '-...']"
6TVGHB,"['-....', '-', '...-', '--.', '....', '-...']"
NHT67890-\][P,"['-.', '....', '-', '-....', '--...', '---..', '----.', '-----', '-....-', '.--.']"
J8U43MOERI,"['.---', '---..', '..-', '....-', '...--', '--', '---', '.', '.-.', '..']"
J8U43MOERI,"['.---', '---..', '..-', '....-', '...--', '--', '---', '.', '.-.', '..']"
J8U43MOERIKJ,"['.---', '---..', '..-', '....-', '...--', '--', '---', '.', '.-.', '..', '-.-', '.---']"
J8U,"['.---', '---..', '..-']"
